GivenName,MiddleInitial,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,GUID,Latitude,Longitude,Kilograms,Centimeters,Company,Occupation
Michelle,J,O'Neill,"3394 Francis Mine","Grass Valley",95945,MichelleJONeill@armyspy.com,530-274-0042,d5208a18-b36a-4783-8b30-d695bd9fe9b8,39.109406,-120.999146,91.9,169,"Maloley's Finer Foods","Technical support specialist"
Vivian,J,Pierce,"576 Winifred Way",Indianapolis,46254,VivianJPierce@cuvox.de,765-716-4479,4b9640f5-549f-4e21-96b5-967609b05b02,39.861662,-86.278637,99.9,164,"The Record Shops at TSS","Social psychologist"
Justin,L,Broussard,"3422 Mudlick Road",Spokane,99201,JustinLBroussard@gustr.com,509-459-0018,e76486d7-91f4-4eab-9fc1-1170f22f53f9,47.583808,-117.394433,65.2,173,Veramons,Sewer
Naomi,M,Womack,"639 Union Street",Seattle,98107,NaomiMWomack@dayrep.com,206-789-3211,ef249929-e0af-4144-a4bd-75c06c5e19c3,47.698247,-122.333414,67.8,155,"Rite Solution","Travel agent"
Gerald,A,Miller,"3760 Shingleton Road",Sawyer,49125,GeraldAMiller@gustr.com,269-426-2297,9357ac01-91b2-448e-8cdb-d8e48dc2d60b,41.861656,-86.626446,86.2,171,"Jack Lang","Labor trainer"
Vincent,M,Johansson,"2723 Stone Lane",Philadelphia,19103,VincentMJohansson@dayrep.com,610-342-6383,21b9241b-1c23-4757-8a1c-45fa5e3731a5,39.860514,-75.1678,76.3,168,"Knox Lumber",Carpenter
Kathryn,K,Botts,"2142 Davis Place",Antwerp,45813,KathrynKBotts@fleckens.hu,419-258-7574,c710777a-73bf-485f-9fe1-48c89e71528d,41.077545,-84.730977,50.1,172,"Northern Star","Armored car guard"
Jeremy,V,McBride,"4077 Khale Street",Beaufort,29902,JeremyVMcBride@superrito.com,843-644-5857,434c4d79-7773-42a2-afe7-c8894ad8e169,32.413873,-80.602703,86.0,180,"Borders Books","Public affairs specialist"
Marilyn,J,Reed,"1390 Kuhl Avenue",Atlanta,30303,MarilynJReed@fleckens.hu,678-640-9163,c48e929c-45e6-42d8-a5bc-275be121a3ed,33.836176,-84.381748,80.2,163,"Boys Markets","Systems software engineer"
Dennis,E,Estes,"2291 Ashton Lane",Austin,78756,DennisEEstes@armyspy.com,512-467-7012,ee0be139-2b38-41a1-a4c3-9ebd3a9d36d9,30.29522,-97.752518,109.2,178,"Realty Zone","Social worker"
Harvey,S,Yocum,"4623 Lincoln Drive",Leola,17540,HarveySYocum@fleckens.hu,717-661-4012,587af7ce-c2f1-412d-b2f6-31f2a065c8c0,40.012766,-76.191983,114.5,175,"J. Riggings",Sailor
Susan,J,Longoria,"1531 Whispering Pines Circle",Irving,75039,SusanJLongoria@rhyta.com,972-401-7175,5c17da6e-5a8e-4f6b-8ffb-975c68951a0b,32.849002,-96.992756,59.6,153,Mikrotechnic,"Engraver set-up operator"
Aida,W,Dupree,"577 Dovetail Drive",Waukegan,60085,AidaWDupree@fleckens.hu,847-360-9414,11e4deaa-b04d-4eb4-90df-a66a738a5b12,42.324544,-87.953309,81.2,154,"Coon Chicken Inn","Osteopathic doctor"
Timothy,J,Braun,"255 Yorkie Lane",Savannah,31401,TimothyJBraun@gustr.com,912-947-1500,fd3015b1-ff4d-4fb4-b272-93f95fb209e0,32.167286,-81.146952,75.0,179,"Record Bar","Recruiting manager"
Tracy,S,Dawkins,"4789 Ferrell Street",Duluth,55811,TracySDawkins@armyspy.com,218-390-6139,7dd9ff13-f568-4d67-a306-f49899e5f8b4,46.924156,-92.27308,62.8,170,Anderson-Little,"Electronics technician"
Barbara,R,Rene,"182 Twin Oaks Drive","Grand Rapids",49503,BarbaraRRene@einrot.com,231-516-2200,b1918a7f-69c8-444e-92cd-df44b0a6e0c9,42.897125,-85.697708,90.2,155,"Gene Walter's Marketplace",Optometrist
Kristina,D,Rizzuto,"4324 Shearwood Forest Drive",Milford,03055,KristinaDRizzuto@teleworm.us,603-249-3290,4f04d6c2-9656-4072-a0b6-c56c2842d35f,42.850886,-71.598119,63.1,159,"Asian Fusion","Cable splicer"
Myrtie,H,Blackburn,"1601 Gregory Lane",Louisville,40205,MyrtieHBlackburn@teleworm.us,502-478-0635,054c7664-4d7a-4bf5-b5f0-c629acac297c,38.166166,-85.723199,61.7,162,"Funtown toys",Host
Connie,P,Henderson,"2534 Coulter Lane",Richmond,23233,ConniePHenderson@fleckens.hu,804-280-2294,addc1449-f98c-41eb-859a-ad3ac60ee80f,37.702935,-77.577157,67.0,170,"Realty Zone","Computer chip processor"
David,M,Byers,"2436 Masonic Drive",Powell,82435,DavidMByers@einrot.com,406-574-6714,e0df52b6-8852-4835-bb23-b495c318fb77,44.908619,-109.060637,101.7,190,"Forth & Towne","Landscape contractor"
Tracy,O,Rivera,"3028 Seltice Way",Eagle,83642,TracyORivera@jourrapide.com,208-740-0500,2c4a7552-0d4a-46ad-85b3-c82faba5c5da,43.755194,-116.340972,69.1,157,"Vinyl Fever",Telemarketer
Lowell,L,Peters,"3894 Maloy Court",Topeka,66608,LowellLPeters@teleworm.us,785-430-3037,38fcb9ba-3ce4-48be-ae30-97f31d4b7944,39.042265,-95.738762,100.9,165,"Atlas Architectural Designs",EMT
Jasmine,R,Lowe,"4907 College Avenue","Jackson Center",45334,JasmineRLowe@einrot.com,937-421-3466,afabc637-1dc5-4082-a4d0-a8f5fd04808b,40.4257,-84.003743,52.2,161,"Jackhammer Technologies","Able seaman"
Ruben,S,Smiley,"1184 Cost Avenue","Silver Spring",20910,RubenSSmiley@teleworm.us,301-457-0736,d71c0c70-54bb-418e-b35f-36d2a082a135,38.931005,-77.051885,97.8,164,"Young @ Heart","Personnel consultant"
Paul,D,Hecht,"1044 Duck Creek Road","San Bruno",94066,PaulDHecht@gustr.com,650-872-1083,be72d80e-61dc-43ef-b7fc-267e10e9cbfb,37.66813,-122.404577,84.7,177,"Henry's Hamburgers","Treatment plant and system operator"
Carol,W,Green,"2192 Pineview Drive",Okabena,56161,CarolWGreen@teleworm.us,507-853-0652,fbd523a1-3909-4e2d-a45b-6dab386dba28,43.693907,-95.30473,86.6,169,"Eagle Hardware & Garden","Wildlife biologist"
Floyd,M,Rines,"2942 Hardesty Street","North Greenbush",12144,FloydMRines@jourrapide.com,518-469-7416,1c4e26d9-8f41-473c-94e0-667ed2b7eff0,42.64895,-73.578238,96.8,185,"De Pinna","Landscaping worker"
John,K,Vaughn,"579 Cambridge Drive",Peoria,85382,JohnKVaughn@jourrapide.com,623-572-0024,1afcaa13-8cc0-4a62-8519-731d7a5b6046,33.646976,-112.24868,62.1,185,"Handy Dan","Grader operator"
Jessica,J,Wilson,"3260 Losh Lane",Pittsburgh,15236,JessicaJWilson@fleckens.hu,412-655-5922,1776005a-109a-4421-9c51-2703618aed96,40.333673,-79.99185,82.3,155,"Creative Wealth Management","Metallurgical engineer"
